Country,Year,Birth_Rate_per_1000,Energy_Use_kgOE_per_Capita,population_total,Literacy_Rate,FDI_Net_Inflows_USD,Political_Instability,gdp_usd,gdp_real_growth_pct,exports_pct_gdp,imports_pct_gdp,gross_capital_form_pct_gdp,household_consump_pct_gdp,govt_consump_pct_gdp,inflation_cpi_pct,unemployment_pct,net_exports_pct_gdp,gdp_usd_log,population_growth_pct,exports_pct_gdp_lag1,imports_pct_gdp_lag1,gross_capital_form_pct_gdp_lag1,household_consump_pct_gdp_lag1,govt_consump_pct_gdp_lag1,inflation_cpi_pct_lag1,unemployment_pct_lag1,gdp_real_growth_pct_lag1
China,1990,21.06,773.250116673841,1135185000,77.7900009155273,3487000000.0,,361560229445.507,3.9416305983694,13.5882641172526,10.6377183627152,34.0914985430681,49.8954930966282,13.8241951178238,,,2.9505457545373996,26.61369447447512,,,,,,,,,
China,1991,19.68,740.586120549437,1150780000,,4366000000.0,,384510452961.672,9.36170212784847,14.4450323111337,11.4279491835766,35.5377442696039,47.8249640929912,14.1652583265748,,2.37,3.0170831275571004,26.675236811378685,1.3737848896875793,13.5882641172526,10.6377183627152,34.0914985430681,49.8954930966282,13.8241951178238,,,3.9416305983694
China,1992,18.27,756.63514647117,1164970000,,11156000000.0,,428502354788.069,14.2996108947926,15.6002410213269,14.4338530320539,39.3081668840399,45.2010580459854,14.5924617887132,,2.37,1.1663879892729998,26.783562070390545,1.2330766958063233,14.4450323111337,11.4279491835766,35.5377442696039,47.8249640929912,14.1652583265748,,2.37,9.36170212784847
China,1993,18.09,792.633509359554,1178440000,,27515000000.0,,446557291212.148,13.9290780143689,16.6339975209836,19.274644137231,43.4763551900211,43.9534669469594,14.5079383691097,,2.69,-2.640646616247402,26.82483354081704,1.1562529507197716,15.6002410213269,14.4338530320539,39.3081668840399,45.2010580459854,14.5924617887132,,2.37,14.2996108947926
China,1994,17.7,821.273750333988,1191835000,,33787000000.0,,566929539493.172,13.0727091631599,18.4515778259707,17.1538856989073,40.2783746945492,44.0690349595393,14.2435256701499,24.2569897243361,2.9,1.2976921270633994,27.063500863980657,1.1366722107192473,16.6339975209836,19.274644137231,43.4763551900211,43.9534669469594,14.5079383691097,,2.69,13.9290780143689
China,1995,17.12,872.82633002387,1204855000,,35849200000.0,,738190896227.55,11.0328121562746,17.8624291729756,16.2425229859567,39.092189056179,45.763624625706,13.4546321618702,16.7912251650916,3.0,1.6199061870188984,27.32746829507335,1.0924330968632434,18.4515778259707,17.1538856989073,40.2783746945492,44.0690349595393,14.2435256701499,24.2569897243361,2.9,13.0727091631599
China,1996,16.98,884.894160616361,1217550000,,40180000000.0,-0.0978488251566887,868523936530.083,9.97619992053447,17.8247104643429,15.8040407669576,37.7768637845413,46.8863297078268,13.3454091227604,8.31316028893908,3.12,2.0206696973852996,27.49006098301932,1.05365375916604,17.8624291729756,16.2425229859567,39.092189056179,45.763624625706,13.4546321618702,16.7912251650916,3.0,11.0328121562746
China,1997,16.57,876.489344673065,1230075000,,45439000000.0,,967753570434.667,9.2876465280865,19.3692945938508,14.9442817281513,35.7413524462449,45.9414147709567,13.9060143346837,2.78646505531882,3.23,4.4250128656995,27.598243315815772,1.0287051866453067,17.8247104643429,15.8040407669576,37.7768637845413,46.8863297078268,13.3454091227604,8.31316028893908,3.12,9.97619992053447
China,1998,15.64,872.405987083978,1241935000,,45644000000.0,-0.394105225801468,1037134141760.35,7.92079207933551,18.1992267514817,13.9725131842671,34.9859486932226,45.5340370050743,15.0970314649113,-0.773186011549315,3.24,4.226713567214599,27.667482392413262,0.9641688514927971,19.3692945938508,14.9442817281513,35.7413524462449,45.9414147709567,13.9060143346837,2.78646505531882,3.23,9.2876465280865
China,1999,14.64,880.738578841902,1252735000,,41014000000.0,,1103843203575.64,7.7370030581299,18.0006905864312,15.2248474895742,34.2336141056633,46.2320076078832,16.5121269789853,-1.40147268276465,3.25,2.7758430968570007,27.72981902795014,0.8696107284197563,18.1992267514817,13.9725131842671,34.9859486932226,45.5340370050743,15.0970314649113,-0.773186011549315,3.24,7.92079207933551
