country_name,country_code,year,value,indicator
Germany,DE,1995,14847000.0,tourism_arrivals
Germany,DE,1996,15205000.0,tourism_arrivals
Germany,DE,1997,15837000.0,tourism_arrivals
Germany,DE,1998,16511000.0,tourism_arrivals
Germany,DE,1999,17116000.0,tourism_arrivals
Germany,DE,2000,18983000.0,tourism_arrivals
Germany,DE,2001,17861000.0,tourism_arrivals
Germany,DE,2002,17969000.0,tourism_arrivals
Germany,DE,2003,18399000.0,tourism_arrivals
Germany,DE,2004,20137000.0,tourism_arrivals
Germany,DE,2005,21500000.0,tourism_arrivals
Germany,DE,2006,23569000.0,tourism_arrivals
Germany,DE,2007,24421000.0,tourism_arrivals
Germany,DE,2008,24884000.0,tourism_arrivals
Germany,DE,2009,24220000.0,tourism_arrivals
Germany,DE,2010,26875000.0,tourism_arrivals
Germany,DE,2011,28374000.0,tourism_arrivals
Germany,DE,2012,30411000.0,tourism_arrivals
Germany,DE,2013,31545000.0,tourism_arrivals
Germany,DE,2014,32999000.0,tourism_arrivals
Germany,DE,2015,34970000.0,tourism_arrivals
Germany,DE,2016,35555000.0,tourism_arrivals
Germany,DE,2017,37452000.0,tourism_arrivals
Germany,DE,2018,38881000.0,tourism_arrivals
Germany,DE,2019,39563000.0,tourism_arrivals
Germany,DE,2020,12449000.0,tourism_arrivals
India,IN,1995,2124000.0,tourism_arrivals
India,IN,1996,2288000.0,tourism_arrivals
India,IN,1997,2374000.0,tourism_arrivals
India,IN,1998,2359000.0,tourism_arrivals
India,IN,1999,2482000.0,tourism_arrivals
India,IN,2000,2649000.0,tourism_arrivals
India,IN,2001,2537000.0,tourism_arrivals
India,IN,2002,2384000.0,tourism_arrivals
India,IN,2003,2726000.0,tourism_arrivals
India,IN,2004,3457000.0,tourism_arrivals
India,IN,2005,3919000.0,tourism_arrivals
India,IN,2006,4447000.0,tourism_arrivals
India,IN,2007,5082000.0,tourism_arrivals
India,IN,2008,5283000.0,tourism_arrivals
India,IN,2009,5168000.0,tourism_arrivals
India,IN,2010,5776000.0,tourism_arrivals
India,IN,2011,6309000.0,tourism_arrivals
India,IN,2012,6578000.0,tourism_arrivals
India,IN,2013,6968000.0,tourism_arrivals
India,IN,2014,13107000.0,tourism_arrivals
India,IN,2015,13284000.0,tourism_arrivals
